chance auf erfolg, würfel, anzahl_gewünschter erfolge(x), prozent für x erfolge
0.33,0, 0, 0
0.33,1, 0, 0
0.33,1, 1, 0.44
0.33,2, 0, 0
0.33,2, 1, 0.44
0.33,2, 2, 0.11
0.33,3, 0, 0
0.33,3, 1, 0.4
0.33,3, 2, 0.1
0.33,3, 3, 0.03
0.33,4, 0, 0
0.33,4, 1, 0.33
0.33,4, 2, 0.08
0.33,4, 3, 0.03
0.33,4, 4, 0.01
0.33,5, 0, 0
0.33,5, 1, 0.27
0.33,5, 2, 0.07
0.33,5, 3, 0.02
0.33,5, 4, 0.01
0.33,5, 5, 0.0
0.33,6, 0, 0
0.33,6, 1, 0.21
0.33,6, 2, 0.05
0.33,6, 3, 0.02
0.33,6, 4, 0.01
0.33,6, 5, 0.0
0.33,6, 6, 0.0
chance auf erfolg, würfel, anzahl_gewünschter erfolge(x), prozent für x erfolge
0.5,0, 0, 0
0.5,1, 0, 0
0.5,1, 1, 0.5
0.5,2, 0, 0
0.5,2, 1, 0.38
0.5,2, 2, 0.19
0.5,3, 0, 0
0.5,3, 1, 0.25
0.5,3, 2, 0.12
0.5,3, 3, 0.08
0.5,4, 0, 0
0.5,4, 1, 0.16
0.5,4, 2, 0.08
0.5,4, 3, 0.05
0.5,4, 4, 0.04
0.5,5, 0, 0
0.5,5, 1, 0.09
0.5,5, 2, 0.05
0.5,5, 3, 0.03
0.5,5, 4, 0.02
0.5,5, 5, 0.02
0.5,6, 0, 0
0.5,6, 1, 0.05
0.5,6, 2, 0.03
0.5,6, 3, 0.02
0.5,6, 4, 0.01
0.5,6, 5, 0.01
0.5,6, 6, 0.01
